date,host,stadium,match_type,team_1,team_2,team_1_score,team_2_score,winner,margin,margin_type,winning_condition,series,season,season_winner
02-Mar-96,India/Pakistan/Sri Lanka,Delhi,24th Match,India,Sri Lanka,271 for 3,272 for 4,Sri Lanka,6,wickets,with 8 balls remaining,Wills World Cup,1995/96,Sri Lanka
22-Feb-92,Australia/New Zealand,Perth,2nd Match (D/N),England,India,236 for 9,227,England,9,runs,,Benson & Hedges World Cup,1991/92,Pakistan
23-Feb-92,Australia/New Zealand,New Plymouth,3rd Match,Zimbabwe,Sri Lanka,312 for 4,313 for 7,Sri Lanka,3,wickets,with 4 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
23-Feb-92,Australia/New Zealand,Melbourne,4th Match,Pakistan,West Indies,220 for 2,221 for 0,West Indies,10,wickets,with 19 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
25-Feb-92,Australia/New Zealand,Hamilton,5th Match,Sri Lanka,New Zealand,206 for 9,210 for 4,New Zealand,6,wickets,with 10 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
26-Feb-92,Australia/New Zealand,Sydney,6th Match (D/N),Australia,South Africa,170 for 9,171 for 1,South Africa,9,wickets,with 13 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
27-Feb-92,Australia/New Zealand,Hobart,7th Match,Pakistan,Zimbabwe,254 for 4,201 for 7,Pakistan,53,runs,,Benson & Hedges World Cup,1991/92,Pakistan
27-Feb-92,Australia/New Zealand,Melbourne,8th Match (D/N),West Indies,England,157,160 for 4,England,6,wickets,with 61 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
28-Feb-92,Australia/New Zealand,Mackay,9th Match,India,Sri Lanka,1 for 0,,No result,No result,No result,,Benson & Hedges World Cup,1991/92,Pakistan
29-Feb-92,Australia/New Zealand,Auckland,10th Match,South Africa,New Zealand,190 for 7,191 for 3,New Zealand,7,wickets,with 93 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
